lon,lat,ppi
27.880349,43.582003,0.000000
27.739210,43.577060,0.000000
27.778834,43.557168,0.096742
27.893893,43.543000,0.042757
27.821369,43.489159,0.000000
27.764195,43.545021,0.082268
27.799741,43.583946,0.000000
27.723280,43.498105,0.881936
27.753922,43.455677,0.925219
27.763033,43.580505,0.104945
27.824076,43.488149,0.000000
27.781784,43.536348,0.000000
27.843772,43.490526,0.000000
27.800625,43.585200,0.000000
27.740806,43.515191,0.000000
27.807621,43.506185,0.000000
27.872506,43.484818,0.353877
27.793956,43.586688,0.000000
27.848096,43.587289,0.000000
27.731503,43.513270,0.538738
27.852074,43.491635,0.000000
27.753840,43.459009,0.641449
27.777684,43.544750,0.000000
27.856933,43.529147,0.148343
27.730291,43.484554,0.704497
27.827598,43.564929,0.000000
27.860652,43.573059,0.000000
27.792551,43.526820,0.652631
27.730976,43.490132,0.608026
27.801896,43.559620,0.169392
27.801663,43.504696,0.000000
27.775860,43.556918,0.039301
27.724627,43.486661,0.656941
27.891626,43.489983,0.070279
27.709426,43.571936,0.000000
27.793228,43.569045,0.000000
27.860826,43.506967,0.000000
27.727604,43.538867,0.070918
27.879407,43.491698,0.069160
27.877260,43.548351,0.000000
27.782352,43.570650,0.000000
27.702872,43.508857,0.101121
27.894898,43.577478,0.084009
27.838465,43.527032,0.092320
27.704556,43.568455,0.069755
27.865377,43.487844,0.136990
27.871218,43.584414,0.000000
27.895306,43.554875,0.058879
27.768441,43.557689,0.286429
27.876835,43.595896,0.000000
27.699990,43.516349,0.000000
27.773317,43.503270,0.032664
27.871543,43.538220,0.080681
27.708594,43.479738,1.095578
27.784014,43.593779,0.358709
27.837551,43.505699,0.000000
27.719756,43.545039,0.073537
27.747544,43.469676,0.535908
27.724089,43.482973,0.000000
27.807149,43.498624,0.000000
27.727183,43.575877,0.000000
27.853848,43.485859,0.094611
27.782595,43.522476,0.073817
27.843974,43.478369,0.350818
27.751005,43.539526,0.000000
27.828269,43.532509,0.000000
27.838114,43.555308,0.778764
27.835016,43.465379,0.000000
27.863339,43.561784,0.573225
27.732765,43.576651,0.130414
27.794816,43.595596,0.021459
27.877125,43.521970,0.000000
27.759578,43.502642,0.106852
27.700764,43.497705,0.349400
27.785546,43.540104,0.216324
27.849122,43.563331,0.000000
27.891557,43.510513,0.381432
27.722021,43.589596,0.000000
27.769685,43.587304,0.069541
27.766709,43.518712,0.452595
27.892264,43.541662,0.000000
27.783146,43.507705,0.355441
27.791816,43.527365,0.479428
27.754154,43.553822,0.584559
27.838448,43.463282,0.000000
27.900000,43.545834,0.000000
27.803128,43.493880,0.037778
27.737564,43.462357,0.713506
27.847829,43.506434,0.000000
27.763517,43.579602,0.019046
27.881142,43.449365,0.083048
27.845115,43.453779,0.023603
27.832506,43.525635,0.020841
27.732309,43.477608,0.747598
27.859079,43.566948,0.179672
27.752287,43.553024,0.516641
27.723542,43.489009,0.864233
27.804677,43.470819,0.000000
27.774897,43.510733,0.000000
27.801765,43.503074,0.037838
27.894940,43.513368,0.172728
27.752063,43.594714,0.000000
27.798959,43.468518,0.020379
27.743238,43.592341,0.147405
27.825842,43.545133,1.569694
27.754579,43.538242,0.000000
27.727433,43.473137,0.196722
27.823837,43.506969,0.262348
27.815253,43.512613,0.000000
27.827299,43.579248,0.000000
27.770788,43.576672,0.000000
27.840328,43.545387,0.000000
27.727467,43.455308,0.913242
27.774471,43.535498,0.000000
27.735280,43.508474,0.041175
27.727081,43.454050,0.679040
27.804915,43.460822,0.000000
27.879431,43.578499,0.179855
27.771202,43.560641,0.000000
27.729301,43.597473,0.000000
27.746877,43.465718,0.717093
27.803785,43.571312,0.499649
27.862565,43.524872,0.000000
27.815543,43.552500,0.009104
27.746062,43.600336,0.000000
27.845106,43.594965,0.336072
27.810606,43.470417,0.032982
27.792179,43.545641,0.000000
27.699491,43.548137,0.038073
27.855235,43.549059,0.000000
27.707002,43.481099,0.353951
27.799304,43.588361,0.000000
27.877296,43.567890,0.000000
27.836658,43.494811,0.000000
27.848526,43.485539,0.032286
27.850639,43.451037,0.000000
27.801736,43.584923,0.162006
27.738065,43.513678,0.629276
27.898598,43.593116,0.370430
27.704339,43.560533,0.676169
27.767920,43.584885,0.407187
27.890147,43.599665,0.000000
27.886439,43.498938,0.000000
27.858494,43.464664,0.000000
27.853093,43.502523,0.076385
27.713717,43.557773,0.082014
27.876066,43.594102,0.000000
27.844280,43.509251,0.000000
27.719062,43.476161,0.000000
27.777190,43.564112,0.048181
27.897891,43.520458,0.311139
27.899099,43.543500,0.000000
27.770211,43.473037,0.028688
27.783011,43.564163,0.171263
27.744761,43.595302,0.000000
27.800656,43.559538,0.014596
27.846650,43.528323,0.449502
